file_id,file_name,sheet_name,semantic_title,semantic_summary,business_domain,data_purpose,data_category,row_granularity,core_entities,metrics,dimensions,has_time_dimension,time_columns,time_granularity,likely_time_range,primary_topics,keywords,synonyms_or_aliases,related_concepts,possible_user_queries,confidence_score,confidence_notes,confidence_ambiguities
,2025下学习成绩.xlsx,student,2025 Fall Semester Student Course Exam Scores,"This spreadsheet sheet contains 100 rows of individual student exam scores for the 2025 fall semester, with each row representing a single student's scores for three courses: Data Structures, College English 2, and Python Language Basics. The first column is the student ID formatted as SE2025XXXX, followed by numerical scores for each of the three courses.",Education|Higher Education|Student Academic Management,Record individual student course exam scores|Track student academic performance|Generate semester-level student grade reports,Individual Student Score Records|Unaggregated Academic Assessment Data,Individual student's exam scores for three university courses during the 2025 fall semester,Student|University Course|Exam Score,Data Structures Exam Score|College English 2 Exam Score|Python Language Foundation Exam Score,Student ID Number,True,,Semester,2025 Fall Semester (2025下),Student Academic Scores|University Course Grades,student ID|学号|数据结构|大学英语2|python语言基础|考试成绩|2025下|学期成绩,学号 = Student ID|成绩 = Exam Score|2025下 = 2025 Fall Semester|数据结构 = Data Structures|大学英语2 = College English 2|python语言基础 = Python Language Foundation,higher education|academic assessment|course grading|student transcript,What is Data Structures score for student SE2025001?|Show all students' Python language foundation exam scores|Which students scored above 90 in College English 2?|List all exam scores for the 2025 fall semester|Retrieve the scores for student SE2025100 across all three courses|What is the College English 2 score for student SE2025050?,0.98,"All data is clearly defined with explicit headers and sample student records. The only inference is the time range from the filename '2025下学习成绩', which is unambiguous in the Chinese education context. No missing critical information.",
,2025年上成绩.xlsx,student,2025 Spring Semester Student Course Exam Scores,"This spreadsheet sheet contains 100 individual student exam score records for the 2025 spring semester, with each row holding a unique student ID (formatted SE2025XXXX) and their numerical exam scores for three university courses: Marxism Theory, Computer Networks, and C Language Programming Basics.",Education|Higher Education|Student Academic Management|College Course Assessment,Record individual university student course exam scores|Track semester-level student academic performance|Generate official course grade reports for the 2025 spring semester,Individual Student Score Records|Unaggregated Academic Assessment Data|Undergraduate Course Grade Data,Single undergraduate student's exam scores across three university courses during the 2025 spring semester,Student|University Course|Exam Score|Student ID Number,Marxism Theory Exam Score|Computer Networks Exam Score|C Language Programming Basics Exam Score,Student ID Number (SE2025XXXX format),True,,Semester,2025 Spring Semester (2025年上),Student Academic Scores|University Course Grades|Undergraduate Exam Results,学号|马克思主义|计算机网络|C语言编程基础|考试成绩|2025年上|学期成绩|student ID|exam score|course grade,学号 = Student ID|马克思主义 = Marxism Theory|计算机网络 = Computer Networks|C语言编程基础 = C Language Programming Basics|2025年上 = 2025 Spring Semester,higher education|academic assessment|course grading|student transcript|university academic performance|grade reporting,What is Marxism Theory score for student SE2025001?|Show all students' C Language Programming Basics exam scores|Which students scored above 90 in Computer Networks?|Retrieve 2025 spring semester student exam score records|List all scores for student SE2025100 across all three courses|What is the Computer Networks score for student SE2025050?,0.98,"All table structure, headers, and sample data are explicit and consistent. The time range is directly inferred from the filename, which is unambiguous in the Chinese higher education context. No missing critical information or ambiguous details.",
,inspect_file_test_file.xlsx,report_with_embedded_aggregatio,February 2025 Property Electricity Usage Report,"This sheet contains aggregated monthly electricity consumption data for February 2025, with multi-layered headers: first column lists property/commercial sites, followed by two usage categories (Office and Public Equipment & Lighting) with consumption measured in kWh/degrees, plus a final grand total row for all usage across all sites.",Facilities Management|Real Estate Property Management|Utility Usage Tracking|Administrative Operations,Record monthly electricity consumption by site and usage category|Calculate aggregated total usage for the reporting period|Support energy auditing and utility cost allocation,Aggregated Monthly Utility Report Data|Property-Level Electricity Consumption Statistics|Summary Energy Usage Records,Each non-total data row represents a single property/site's electricity consumption across two usage categories; the final row is the grand total of all consumption across all sites and categories,Property Site/Complex|Electricity Usage Category|Monthly Electricity Consumption|Reporting Period,Office Electricity Consumption (kWh/degree)|Public Equipment & Lighting Electricity Consumption (kWh/degree),Reporting Month (February 2025)|Property Site Name|Electricity Usage Category,True,,Monthly,February 2025 (2025年2月),Electricity Usage Reports|Property Utility Consumption|Monthly Energy Statistics,2025年2月|用电报表|办公用电|公共设备与照明用电|用电量|徽苑|公租房|总计量|电费统计|electricity usage|kWh|monthly report,01办公 = Office Usage Category|04公共设备与照明 = Public Equipment & Lighting Usage Category|用量（度）= Electricity Consumption (kWh/degree)|2025年2月 = February 2025,facilities management|property operations|energy tracking|utility billing|energy auditing,What was the total office electricity usage in February 2025?|How much public lighting electricity did Di Hui Yuan use in Feb 2025?|List all property sites' office electricity consumption for February 2025|Show the grand total electricity usage across all sites in February 2025|Which property sites had no office electricity usage in February 2025?|What is the public equipment electricity usage for Xin Hui Phase 1?,0.95,"All structural elements (report title, multi-layered headers, data rows, aggregated total row) are clearly identifiable from the sheet preview. The only uncertainty is the exact definition of the '公司（人事）' site category, which does not impact core semantic understanding.",Unclear specific definition of the '公司（人事）' site classification
,新乡市固定资产投资项目表（总表）.xlsx,Sheet1,Xinxiang City Fixed Asset Investment Project Comprehensive Statistical Report (Total Table),"This sheet contains aggregated fixed asset investment project statistics for Xinxiang City, with multi-layered headers breaking down metrics by administrative region and municipal department. Metrics include total project count, total investment, annual planned investment, year-to-date cumulative completed investment, and project lifecycle breakdowns for ongoing, planned new start, pre-development, planned, suspended/delayed, canceled, and completed projects, plus an overall city grand total row.",Government Economic Management|Fixed Asset Investment Statistics|Local Administrative Economic Reporting|Infrastructure & Real Estate Investment Tracking,Track and report municipal fixed asset investment project status and metrics|Break down investment data by administrative region and government department|Support local economic planning and investment policy formulation|Provide official aggregated investment statistics for Xinxiang City,Aggregated Government Statistical Report Data|Fixed Asset Investment Project Breakdowns|Year-to-Date Economic Performance Metrics,"Each row represents a statistical grouping: either the overall Xinxiang City grand total, a county-level administrative district, a municipal government industry department, or a consolidated 'other departments' grouping, with all associated fixed asset investment metrics and project lifecycle breakdowns.",Fixed Asset Investment Project|Xinxiang City Administrative Region|Municipal Government Department|Project Lifecycle Stage|Investment Metric,Total Number of Projects|Total Investment Amount|Annual Planned Investment Amount|Year-to-Date Cumulative Completed Investment|Ongoing Project Count|Ongoing Project Total Investment|Ongoing Project Annual Planned Investment|Ongoing Project Cumulative Completed Investment|Ongoing Project Investment Completion Rate|Planned New Start Project Count|Planned New Start Project Total Investment|Pre-development Project Count|Pre-development Project Total Investment|Planned Project Count|Planned Project Total Investment|Suspended/Delayed Project Count|Suspended/Delayed Project Total Investment|Canceled Project Count|Canceled Project Total Investment|Completed Project Count|Completed Project Total Investment,"Administrative Geographic Region (Xinxiang City, counties/districts, municipal bureaus)|Municipal Government Department|Project Lifecycle Stage",True,,Year-to-Date,"Current calendar year (no explicit year specified, implied by '年初以来' = since start of year)",Xinxiang City Fixed Asset Investment Statistics|Government Project Investment Reporting|Local Economic Performance Tracking,新乡市|固定资产投资|项目表|总表|项目个数|总投资|年度计划投资|年初以来累计完成投资|在建项目|计划新开工项目|前期项目|谋划项目|停缓建项目|撤销项目|竣工项目|县市区|行业部门|投资完成率,年初以来累计完成投资 = Year-to-Date Cumulative Completed Investment|在建项目 = Ongoing Construction Projects|计划新开工项目 = Planned New Start Projects|停缓建项目 = Suspended/Delayed Projects|撤销项目 = Canceled Projects|竣工项目 = Completed Projects,local government economics|infrastructure investment|real estate development|economic planning|investment policy,What is the total number of fixed asset investment projects in Xinxiang City?|Show fixed asset investment metrics for Changyuan City|List municipal bureau fixed asset investment data for Xinxiang City|What is the annual planned investment for the Municipal Housing and Urban-Rural Development Bureau?|How many ongoing projects are there in Xinxiang City?|Show the total investment amount for all planned new start projects across the city,0.97,"All table structure, multi-layered headers, data groupings, and metric definitions are clearly identifiable from the sheet preview. The only ambiguity is the exact reporting calendar year, which is not explicitly stated, only implied by the '年初以来' year-to-date metric. All core business meanings are correctly inferred from the input data.",Exact reporting calendar year is not explicitly specified in the sheet preview
,example_table.xlsx,PELAGIC,UK Pelagic Fish Fishery Weekly Landings and Quota Uptake Report,"This sheet contains aggregated weekly and year-to-date pelagic fish fishery statistics for UK vessels, including landing volumes by regional fishing grounds, year-over-year percentage changes between 2022 and 2023, and quota uptake metrics, with supporting explanatory notes at the bottom of the sheet.",Fisheries Management|Marine Resource Monitoring|UK Commercial Fishing Industry|Fisheries Statistical Reporting,Track weekly pelagic fish landings by UK fishing vessels|Compare year-over-year fishery metrics between 2022 and 2023|Report quota utilization and uptake for pelagic fish stocks|Document adjusted approximate landing comparisons for delayed 2022 landing notifications,Aggregated Weekly Fisheries Statistical Report|Pelagic Fish Landing & Quota Uptake Data|Cross-Year Comparative Fishery Metrics,"Each non-note data row represents a single pelagic fish stock (or regional sub-stock) with associated landing volumes, regional breakdowns, year-over-year changes, and quota uptake metrics for the current reporting period.",Pelagic Fish Stock|UK Commercial Fishing Vessel|Fisheries Landing|Fishing Quota|Reporting Region|Reporting Period,Total Landings by UK Vessels|Landings in Scotland|Landings in England/Wales/Northern Ireland|Landings Abroad|Year-over-Year Percentage Change in Landings|Quota Uptake in Past Week|Year-to-Date Quota Uptake (2022/2023)|Year-over-Year Percentage Change in Quota Uptake|Total Quota Allocation|Landing/Quota Volume in Tonnes,"Pelagic Fish Stock Name|Reporting Region|Reporting Year (2022, 2023)|Time Period (Weekly, Year-to-Date)",True,2022|2023,Weekly + Year-to-Date,"2022-2023 weekly fisheries reporting period, with 2022 data adjusted for a 2-week landing notification delay",Pelagic Fishery Statistics|UK Fish Landings|Fisheries Quota Uptake|Cross-Year Fishery Comparison,pelagic fish|herring|mackerel|blue whiting|sandeels|fisheries landings|quota uptake|UK fisheries|2022|2023|Scotland landings|tonnes of fish,landings = total fish catch volume|quota uptake = quota utilization rate|WC = West Coast|NS = North Sea,fisheries management|marine conservation|commercial fishing|quota allocation|fisheries monitoring,What were the 2023 total landings for North Sea Herring?|Compare 2022 vs 2023 landings for West Coast Mackerel|Show quota uptake metrics for Blue Whiting stocks in 2023|What is the percentage change in landings for the IVa sub-stock of West Coast Mackerel?|Explain the note about approximate 2022 landing comparisons|List total UK landings for all pelagic stocks in 2022,0.95,"All core table structure, metrics, and entities are clearly identifiable from the sheet preview. Supporting explanatory notes are clearly separated from the main data rows. Most abbreviations and stock groupings are inferable from standard fisheries terminology.","Exact regional stock code definitions (e.g., IVa, IIIa IVbc)|Exact start/end date of the reporting week|Meaning of partially labeled far-right table columns"
,student.xlsx,student,2025 Intake Software Engineering Undergraduate Student Course Exam Score Records,"This sheet contains complete academic records for 100 2025-intake undergraduate software engineering students (split into Class 1 and Class 2), including personal demographic details (student ID, name, gender, class), exam scores for 6 university courses, and each student's cumulative total exam score across all courses.",Education|Higher Education|Student Academic Management|Undergraduate Course Assessment,Record individual student personal details and course exam scores|Calculate total cumulative grade for each student|Track class-level academic performance for the 2025 software engineering cohort,Individual Student Academic Score Records|Undergraduate Course Grade Data|Unaggregated Student Performance Metrics,"Single 2025-intake software engineering undergraduate student, including their personal details, 6 course exam scores, and total cumulative exam score",Undergraduate Student|Software Engineering Class|University Course|Exam Score|Student ID Number,Marxism Theory Exam Score|Computer Networks Exam Score|C Language Programming Basics Exam Score|Data Structures Exam Score|College English 2 Exam Score|Python Language Basics Exam Score|Total Cumulative Exam Score,Student ID Number|Student Full Name|Student Gender|Class (Software Engineering 1/2)|Course Name,True,,Academic Semester,2025 Undergraduate Semester (implied by student ID prefix SE2025),Student Academic Scores|Software Engineering Undergraduate Grades|Personal Student Academic Records,学号|姓名|性别|班级|马克思主义|计算机网络|C语言编程基础|数据结构|大学英语2|python语言基础|总分|软工1班|软工2班|student ID|exam score|total grade|undergraduate grades,学号 = Student ID Number|姓名 = Student Full Name|性别 = Student Gender|总分 = Total Cumulative Exam Score|软工1班 = Software Engineering Class 1|软工2班 = Software Engineering Class 2,higher education|academic grading|student transcript|class performance tracking|university academic administration,What is the total exam score for student SE2025014?|Show all students in Software Engineering Class 1 and their course scores|What was the Data Structures score for student Liu Yu (SE2025001)?|List all female students in the 2025 software engineering cohort|What is the average total score across all software engineering students?|Show Python language foundation exam scores for all students|Find students with a total score above 500,0.98,"All table structure, headers, and sample data are explicit and consistent. The only minor ambiguity is that no explicit academic semester/year is stated beyond the student ID prefix SE2025, which is a standard Chinese university student ID format.",
,,,Insufficient Excel Sheet Data to Determine Semantic Title,"No valid table, header, or row data was provided in the input, so a meaningful semantic summary cannot be generated.",,,,Unknown (no valid sheet data provided),,,,False,,,,,,,,,0.0,No valid Excel sheet content was provided in the input. All semantic analysis fields are unresolvable due to missing table data.,No sheet data exists to identify ambiguities or context
,2025下学习成绩.xlsx,student,2025 Second Semester Undergraduate Student Course Exam Scores,"This sheet contains 100 individual student records, each with a unique student ID and exam scores for three university courses: Data Structures, College English 2, and Python Language Basics, covering the 2025 second semester.",Education|Higher Education|Academic Records Management,Recording individual student academic performance|Storing course exam score data for undergraduate students,Exam Score Records|Student Academic Performance Data,Single student's exam scores across three specified university courses,Student|University Course|Student Exam Score,Data Structures Exam Score|College English 2 Exam Score|Python Language Basics Exam Score,Student Unique ID Number|Course Name,True,,Semester,2025 Second Semester,Student Exam Scores|University Course Grades|Academic Performance Records,student scores|exam grades|data structures|college english 2|python language basics|学号|大学英语2|python语言基础|学习成绩|学生成绩|2025 second semester|2025下,grades|marks|student number|课程成绩|exam results,academic assessment|undergraduate education|educational records|course performance,What is the data structures score for student SE2025001?|What is the average college english 2 exam score?|List all students' python language basics scores|Show all student exam scores for 2025 second semester|Find students with scores above 90 in multiple courses|Retrieve student ID for high-performing students,0.95,"All data is clearly structured and consistent. No explicit time column per row, but the file name confirms the overall 2025 second semester time period. No conflicting or ambiguous data points found.",
,2025下学习成绩.xlsx,student,2025年下半年学生课程成绩表,"This sheet contains detailed course scores for 100 software engineering students (ID range SE2025001 to SE2025100) during the 2025 second semester, covering three courses: 数据结构, 大学英语2, and Python语言基础. Each row corresponds to one student's scores across all three listed courses, with a total of 100 data rows plus 1 header row.",Education|Higher Education|Student Academic Administration,Recording semester course grades for individual students|Tracking academic performance of enrolled students,Academic Performance Records|Student Grading Data|Course Assessment Results,Single student's course scores for the 2025 second semester,Student|Course|Course Score,Numeric course grade on a 0-100 scale,Student ID|Course Name,True,,Academic Semester,2025 Second Semester (2025下半年),Student course scores|Academic grading|Software engineering student performance,学号|学生成绩|数据结构|大学英语2|python语言基础|2025下半年|课程分数|学生ID|SE2025,学生编号|大学英语II|Python基础,Student transcript|Academic assessment|Grade reporting|Course evaluation,What is the score of student SE2025001 in data structure?|List all scores for College English 2|Show Python language foundation scores for all students|Get the grades for student SE2025100|Calculate the average score for the data structure course|Find students with scores above 90 in Python language基础,0.95,"All data is consistent with clear headers and sample rows. The inference of software engineering major is based on the SE prefix in student IDs, which is a reasonable assumption. No critical ambiguities exist in the dataset.",
,2025年上成绩.xlsx,student,2025年上半年学生课程成绩表,"This sheet contains course score records for 100 software engineering students (ID range SE2025001 to SE2025100) during the 2025 first semester, covering three courses: 马克思主义, 计算机网络, and C语言编程基础. Each row corresponds to one student's scores across all three listed courses, with 1 header row and 100 valid data rows.",Education|Higher Education|Student Academic Administration|College Course Assessment,Recording spring 2025 semester course grades for individual students|Tracking academic performance of enrolled software engineering students|Compiling official student academic score data,Academic Performance Records|Student Grading Data|Course Assessment Results|Undergraduate Course Score Data,Single software engineering student's scores for three courses during the 2025 first semester,Student|College Course|Course Score|Student Identification Number,0-100 scale numeric course grade,Student ID|Course Name|Academic Semester,True,,Academic Semester,2025 First Semester (2025年上半年),学生课程成绩|2025年上半年学业成绩|软件工程学生成绩,学号|学生成绩|马克思主义|计算机网络|C语言编程基础|2025年上半年|SE2025|课程分数|学生ID,学生编号|马原|C语言基础|大学计算机网络,学生成绩单|学业评估|成绩查询|学分统计|学业表现分析,查询学生SE2025001的马克思主义课程成绩|列出所有学生的计算机网络课程成绩|计算C语言编程基础课程的平均分|找出C语言编程基础成绩超过90分的学生|查看学生SE2025100的全部课程成绩|查询2025年上半年所有学生的马克思主义课程成绩,0.95,"All inferences are supported by the provided file name, sheet headers, and sample data rows. The SE prefix in student IDs reasonably indicates software engineering student status. No critical ambiguities or unsupported assumptions are present.",
,inspect_file_test_file.xlsx,report_with_embedded_aggregatio,2025年2月分类用电汇总报表,"This is a February 2025 electricity consumption report tracking usage in kilowatt-hours (度) across multiple property locations including residential communities, office spaces, and public facilities. Data is split into two usage categories: Office (01办公) and Public Equipment & Lighting (04公共设备与照明), with a final aggregate total row summarizing overall usage. The sheet includes 1 title row, 2 header rows, 33 individual location data rows, and 1 total aggregate row.",Public Utilities Management|Real Estate Property Administration|Energy Consumption Tracking|Facility Operations,Record monthly electricity usage for property locations|Categorize energy consumption by usage type|Generate aggregated total electricity usage reports|Support energy cost allocation and facility management,Utility Consumption Records|Monthly Energy Usage Reports|Aggregated Facility Energy Data|Property Operational Metrics|Summary Report Data,Non-total data rows represent electricity usage for a single property/location across the two defined usage categories; the final row is the total aggregated usage across all listed locations and categories.,Electricity Consumption|Property Location|Usage Category|Monthly Energy Usage Metric,"Electricity Usage Volume (kilowatt-hours, 度)",Reporting Month (February 2025)|Usage Category|Property Location Name,True,,Monthly,February 2025 (2025年2月),2025年2月用电报表|社区用电统计|分类用电量统计,用电报表|2025年2月|办公用电|公共设备与照明用电|用电量（度）|徽苑|奥青城|新慧|总用电量,电费用量|kWh|公共照明用电|办公区用电,能源管理|物业收费|月度能耗分析|设施运维|能耗成本核算,2025年2月奥青城三期的办公用电量是多少？|国徽苑的公共设备照明总用电量是多少？|获取2025年2月的总用电汇总数据|查看各个徽苑的办公用电用量|统计新慧系列区域的总用电量|查询2025年2月金辉悦府的用电数据,0.92,"All inferences are fully supported by the provided sheet data, including the title row, multi-part headers, individual location data rows, and final aggregate total row. The only minor ambiguity is that some property locations have blank or zero office usage values, which may indicate missing data or no applicable usage with no explicit clarification in the source.","Some property locations have blank or zero office usage values, with no explicit note on whether this represents no usage or missing data."
,inspect_file_test_file.xlsx,report,2024年7月居民消费价格主要数据报表,本报表包含2024年7月全国居民消费价格指数(CPI)核心数据，涵盖整体居民消费价格、城乡分类、食品/非食品、消费品/服务、剔除食品能源的核心CPI的环比、同比涨跌幅，以及1-7月累计同比涨跌幅；同时按类别分列出8大类商品及服务的价格变动数据，包含各细分品类的涨跌幅指标。,宏观经济|居民消费价格统计|国民经济监测|物价指数发布,发布2024年7月官方居民消费价格指数数据|按类别和地域拆解居民消费价格变动情况|提供本年1-7月累计物价变动统计数据,经济统计报表|居民消费价格指数数据|宏观经济监测指标|汇总型经济数据,每条非标题/表头行对应一类居民消费价格类别（整体指数、大类、细分品类），包含对应报告期的价格变动百分比数据。,居民消费价格指数(CPI)|价格涨跌幅百分比|商品服务类别|城乡地域,环比涨跌幅(%)|同比涨跌幅(%)|1-7月累计同比涨跌幅(%),报告月份(2024年7月)|价格统计类别|地域细分(城镇/农村/全国)|商品服务细分品类,True,,月度、1-7月累计,2024年7月，2024年1月至7月,2024年7月CPI数据|居民消费价格指数|物价变动统计,CPI|居民消费价格|环比涨跌幅|同比涨跌幅|2024年7月|食品烟酒|衣着|居住|交通通信|教育文化娱乐|医疗保健|其他用品及服务,物价指数|月环比涨幅|同比涨幅|累计涨跌幅|鲜菜|畜肉类,宏观经济|物价调控|居民生活成本|经济数据分析|国民经济运行,2024年7月全国居民消费价格环比涨了多少？|7月鲜菜价格同比涨幅是多少？|查询2024年7月城镇CPI同比变化|医疗保健类价格7月同比涨了多少？|2024年1-7月全国CPI累计同比涨跌幅是多少？|猪肉价格2024年7月的环比涨幅是多少？,0.98,所有推断均基于提供的Excel表格内容，包括标题行、多阶嵌套表头、各类别价格变动数据及累计指标，数据结构清晰，无明显歧义。,未明确说明数据为全国范围还是特定区域，但结合报表内容符合国家统计局发布的CPI报表标准，默认推断为全国数据。
