file_id,file_name,sheet_name,semantic_title,semantic_summary,business_domain,data_purpose,data_category,row_granularity,core_entities,metrics,dimensions,has_time_dimension,time_columns,time_granularity,likely_time_range,primary_topics,keywords,synonyms_or_aliases,related_concepts,possible_user_queries,confidence_score,confidence_notes,confidence_ambiguities
,inspect_file_test_file.xlsx,empty,空白测试工作表（仅含单个数值）,该工作表来自inspect_file_test_file.xlsx工作簿，共4行2列，除单元格B4包含数值1外其余所有单元格均为空白，无结构化表头、业务标签或完整数据结构。,测试电子表格工具|数据验证|占位文档,作为空白测试/验证工作表用于Excel文件处理测试|测试对近乎空白电子表格数据的处理能力,空白测试数据|占位工作表|最小数据工作表,无统一业务行粒度；仅1行包含单个数值，其余3行均为全空白行,,未命名数值（单个条目为1）,,False,,,,空白Excel工作表|空白测试表|最小数据工作表,空白表|空白工作表|测试表|数值1|Excel占位符,占位表|测试空白表,Excel文件测试|数据验证|电子表格维护,empty工作表中有什么数据？|显示空白测试表中的单个数值|该工作表是否包含有效业务数据？|查看近乎空白的Excel工作表,0.75,仅存在一个非空白单元格且无上下文标签，无法确认确切的业务用途和实体定义，所有推断均基于工作表的空白状态和单个数值条目。,无明确业务背景、指标名称或行列定义，单个数值条目无标注含义
,inspect_file_test_file.xlsx,multiple_header,门店销售周报分析报表,"This sheet is a complete store sales weekly analysis report, including 1 title row, 2 layered header rows, sales performance data for 5 individual stores, and 1 aggregated total row. Metrics covered: monthly sales amount, sales completion rate, last week/this week sales quantity, sales amount, average unit price, month-on-month change rates for key metrics, plus monthly sales and completion rate rankings for all stores.",Retail Operations|Sales Analytics|Store Performance Management|Commercial Retail Management,Track weekly and monthly sales performance for individual retail stores|Monitor sales completion rates against targets|Compare sales changes between last week and current week|Rank stores by monthly sales and completion rate|Generate aggregated total sales metrics across all participating stores,Retail Sales Performance Reports|Weekly Sales Analytics Data|Store KPI Metrics|Aggregated Business Summary Data,Non-total rows represent complete sales performance metrics for a single retail store; the final row represents aggregated total metrics across all 5 stores.,Retail Store|Sales Volume|Sales Completion Rate|Weekly Sales Metric|Average Unit Price|Sales Ranking,Monthly Sales Amount|Sales Completion Rate (ratio)|Weekly Sales Quantity|Weekly Sales Amount|Weekly Average Unit Price|Month-on-Month Change Rate for Sales Metrics,Store Name|Reporting Time Period (Weekly/Monthly)|Sales Metric Type,True,,Weekly and Monthly,Current reporting weekly period and cumulative monthly sales (no specific date provided in the sheet),Store Sales Weekly Analysis|Store Sales Performance Ranking|Retail Sales Metric Statistics,门店销售|周报分析|月销|销售完成率|环比变化|销售排名|平均单价|店铺销售额|上周销量|本周销量,分店|销售额|周环比|销售达成率|销量金额|门店业绩,Retail Operations|Sales KPI|Store Performance Evaluation|Sales Data Analysis|Aggregated Business Reporting,各门店的月度销售额分别是多少？|查询四店的销售完成率数据|哪个门店的月度销售额最高？|五店的本周销售额环比变化是多少？|查看所有门店的销售总汇总数据|各门店的销售完成率排名情况如何？|计算所有门店的平均单价,0.94,"All inferences are fully supported by the sheet's title, multi-layered headers, and sample data rows. No critical unsupported assumptions are made. The only minor ambiguity is the non-standard formatting of some month-on-month change values (e.g., '-17 6%' which likely intends '-17.6%').","Some month-on-month change values have non-standard formatting (e.g., '-17 6%' instead of standard percentage notation) with no explicit correction note in the source data."
,inspect_file_test_file.xlsx,very_complex,近三年零售板块新提拔干部综合分析报表,本工作表为零售板块近三年新提拔干部的综合分析报表，包含1个标题行、3层嵌套表头行，总计34行数据。报表涵盖干部的员工编号、姓名、提拔时间、前后部门与职务变动、前后台分类、多年度绩效考评、360评估得分、业绩分类、任务完成率及排名等完整信息，包含针对未参与考评的新提拔干部的专项备注。,人力资源管理|零售板块人事管理|员工绩效评估|干部提拔考核,追踪零售板块新提拔干部的人事变动与绩效表现|统计干部提拔后的岗位与部门调整情况|整合多维度绩效考评与完成率数据|为零售板块人才管理与考核提供数据支撑,人事管理记录|干部提拔绩效报表|员工绩效评估数据|零售人才管理档案,每条非表头/标题行对应一名零售板块新提拔干部的完整人事与绩效档案,新提拔干部|零售部门|岗位职务|绩效考评|提拔时间|完成率指标|排名指标,绩效考评分数|360评估得分|任务完成率|业绩排名|提拔日期|部门/岗位变动记录,干部员工编号|干部姓名|提拔日期|原部门/现部门|原职务/现职务|前后台分类|考评周期|绩效分类,True,提拔时间|近三年考评年度（2022、2023、2024）|2025年考评节点,年度、月度,2022年至2025年，覆盖近三年干部提拔周期,零售板块新提拔干部分析|干部绩效考评|人事变动追踪,新提拔干部|零售板块|员工编号|提拔时间|部门调动|绩效考评|360评估|完成率|业绩排名|前后台分类,干部晋升|人事分析|绩效评分|岗位调整,人才管理|干部考核|人事调动|零售金融管理,查询零售板块新提拔干部的完整名单|查看干部井明磊的提拔时间与岗位变动|统计2023年新提拔的干部数量|获取新提拔干部的业绩排名数据|查看未参与考评的新提拔干部名单,0.9,所有推断均基于提供的标题、分层表头与样本数据，部分行存在缺失数据或非标准标注（如“不参与”考评），部分绩效分类缩写无明确释义，存在少量理解歧义。,部分绩效分类缩写（如A2、A3）无明确官方释义|部分单元格标注“不参与”未说明具体原因|部分列名存在多层拆分，存在少量理解偏差
,inspect_file_test_file.xlsx,complex_china_report,部分高中历史类学科成绩排名及2026届高三区摸底批次分数线报表,"This sheet contains two sections of educational exam data: 1) Average scores and subject-specific rankings for 6 local high schools' 2026 history-track senior year students, with subject group leaders noted for each exam subject, plus missing biology score data for some schools; 2) District摸底 exam batch cutoff scores for both physics-track and history-track 2026 senior year students, including subject minimums, three-subject total cutoff, and overall total cutoff scores. Blank rows separate the two data sections.",Education|High School Academic Assessment|District Exam Management|Student Score Statistics,Track average subject scores and inter-school rankings for local high school history-track students|Publish district摸底 exam batch cutoff scores for the 2026 senior year cohort|Support academic teaching analysis and student performance evaluation,High School Exam Score Report|Subject Average Ranking Data|College Entrance Exam Batch Cutoff Data|Regional Mock Exam Statistics,First data section: Each non-empty row corresponds to a single high school's history-track exam average scores and subject rankings; Second data section: Each batch row corresponds to a score tier's cutoff metrics for physics/history track students.,High School|History-track Senior Student|Physics-track Senior Student|Exam Average Score|Exam Ranking|Admission Batch Cutoff,Subject Average Score|Subject Exam Ranking|Three-subject Total Cutoff Score|Overall Total Cutoff Score,School Name|Exam Subject|Student Track (History/Physics)|Admission Batch Tier|Exam Period (2026 Senior Year First Semester),True,,Academic Semester/Year,2026 Senior Year First Semester (2026届高三第一学期),高中历史类成绩排名|区摸底考试分数线|学科平均分统计,历史类平均分|高中排名|批次分数线|区摸底|学科平均分|西樵高中|罗村高中|南海科学高中|2026届高三,文科历史类|理科物理类|高考模拟分数线|校际成绩对比|学科排名,高中教学评估|高考志愿填报|区域教育管理|学生成绩分析,西樵高中的语文平均分是多少？|罗村高中的各科排名情况如何？|2026届历史类第一批批次分数线是多少？|列出所有高中的数学平均分及排名|物理类第二批批次的总分 cutoff 是多少？|桂华中学的生物平均分数据是否存在？,0.93,"All inferences are fully supported by the sheet's title, layered headers, and sample data. Blank rows are correctly excluded from active data analysis. Only minor ambiguity exists around missing biology score entries.",Some high schools have missing biology score entries with no explicit note explaining the absence.
,inspect_file_test_file.xlsx,report-no-sum,表8 不同特征群体中医药健康文化知识大众媒体获取情况统计表,本工作表为中医药健康文化知识大众媒体获取情况的人口特征统计报表，涵盖城乡、性别、年龄组、文化程度、慢病患病情况、职业、家庭年收入共7类人口维度，每个子群体对应一行数据，包含大众媒体整体获取率及电视、图书、报纸、杂志、广播、互联网、手持终端共7类细分媒体的百分比获取率，未设置汇总总计行。,公共卫生|中医药文化推广|健康传播研究|人口统计调查,分析不同人口群体通过大众媒体获取中医药健康文化知识的差异|统计各群体对不同媒体渠道的使用偏好|为中医药健康文化推广的媒体策略制定提供数据支撑,人口统计调查数据|健康传播指标统计|媒体获取率报表|公共卫生调研数据,每一行对应一个特定的人口特征子群体，包含该群体的各类媒体获取率数据,人口特征群体|中医药健康文化知识|大众媒体渠道|媒体获取率,大众媒体整体获取率(%)|电视媒体获取率(%)|图书媒体获取率(%)|报纸媒体获取率(%)|杂志媒体获取率(%)|广播媒体获取率(%)|互联网媒体获取率(%)|手持终端媒体获取率(%),人口分类维度（城乡、性别、年龄组、文化程度、慢病状态、职业、家庭年收入）|媒体类型,False,,,,中医药健康文化媒体获取情况|不同群体媒体使用差异|健康传播调查,中医药健康文化|大众媒体|媒体获取率|人口特征|城乡差异|年龄分组|职业差异|家庭年收入|慢病情况,中医健康文化|媒体访问率|人群分组|媒体使用率,健康传播|中医药推广|公共卫生|人口统计学,城市和农村群体的中医药健康文化媒体获取率分别是多少？|25~34岁群体的互联网媒体获取率是多少？|不同文化程度群体的图书媒体获取率差异如何？|慢病患者与健康群体的媒体获取率有何不同？|家庭年收入≥50000元群体的手持终端媒体获取率是多少？|男性和女性群体的媒体获取率差异如何？,0.97,所有数据均有明确的人口分类标签和媒体指标标注，报表逻辑清晰，无缺失核心结构，仅未包含时间维度信息，无明显歧义。,
,inspect_file_test_file.xlsx,report-with-note,2023年3月上海市规模以上工业生产情况统计报表及指标说明,"This sheet contains March 2023 Shanghai municipal scale-up industrial production statistics, including monthly and January-March 2023 cumulative data for total industrial output value (broken down by ownership type and enterprise scale tier), industrial product sales rate, and scale-up industrial export delivery value, paired with official statistical scope definitions, data collection channel explanations, and formal statistical metric interpretations. Blank rows separate the data table from the official note section.",Industrial Statistics|Municipal Economic Monitoring|Manufacturing Industry Analysis|Official Public Economic Data Publishing,Publish monthly and cumulative industrial production performance data for Shanghai's scale-up industrial enterprises|Break down industrial output metrics by ownership type and enterprise scale|Provide official statistical methodology and indicator explanations for transparency,Industrial Economic Statistics|Monthly Municipal Economic Reports|Aggregated Industrial Performance Metrics|Official Government Publication Data,"Each non-note, non-header row corresponds to a specific industrial statistical indicator or subgroup (total output, ownership subgroups, enterprise size subgroups, sales rate, export delivery value) with paired monthly and year-to-date growth metrics.",Scale-up Industrial Enterprise|Industrial Output Value|Industrial Product Sales Rate|Export Delivery Value|Enterprise Ownership Type|Enterprise Scale Tier|Statistical Indicator,Monthly Scale-up Industrial Output Value (100 million yuan)|Year-on-year Monthly Growth Rate (%)|January-March 2023 Cumulative Industrial Output Value (100 million yuan)|Year-on-year Cumulative Growth Rate (%)|Industrial Product Sales Rate (%)|Monthly Export Delivery Value (100 million yuan)|Year-on-year Cumulative Export Growth Rate (%),"Time Period (March 2023, January-March 2023)|Statistical Indicator Category|Enterprise Ownership Type|Enterprise Scale Tier",True,,Monthly and Cumulative Quarterly,"March 2023, January to March 2023",上海规模以上工业生产数据|2023年3月工业统计|工业产值同比增长,规模以上工业总产值|国有控股|私人控股|港澳台商控股|外商控股|大型工业|中型工业|小型工业|工业产品销售率|出口交货值|2023年3月|同比增长|累计产值,规上工业|工业总产值|同比增速|累计工业产值,工业统计|经济监测|上海工业|国民经济核算|政府统计数据,2023年3月上海规模以上工业总产值是多少？|私人控股工业企业3月的同比增速是多少？|1-3月上海市累计工业出口交货值数据|规模以上工业企业的统计范围是什么？|大型工业企业1-3月累计产值是多少？|工业产品销售率的计算公式是什么？,0.96,"All inferences are fully supported by the provided sheet data, including the official Shanghai municipal statistical notes and table structure. Some growth rate metrics are missing for the industrial product sales rate with no explicit clarification, but this does not impact core understanding.",Year-on-year growth rates for the industrial product sales rate are missing from the source data with no explanatory note.
,inspect_file_test_file.xlsx,cash flow statement,"Consolidated Cash Flow Statement for Fiscal Years Ended December 31, 2020 and 2021 (Denominated in Millions of CHF)","This sheet is an official consolidated cash flow statement for the years ending December 31, 2020 and 2021, denominated in millions of Swiss Francs. It breaks down cash inflows and outflows into operating, investing, and financing activity categories, includes currency retranslation adjustments, reconciles beginning and ending cash and cash equivalents balances, and contains one explanatory note regarding treasury share buyback activities. Blank rows separate each activity category and the final cash reconciliation section.",Corporate Financial Accounting|Consolidated Financial Reporting|Multinational Enterprise Finance|Annual Financial Statement Disclosure,Disclose annual consolidated cash flow performance for the reporting entity|Break down cash movements by core activity type|Reconcile cash and cash equivalents balances across fiscal years|Provide official explanatory notes for financial statement line items,Consolidated Financial Statements|Cash Flow Statement|Annual Corporate Financial Reports|Official Accounting Disclosure Data,"Each non-blank, non-header row corresponds to a single cash flow line item, grouped under operating, investing, or financing activity categories, plus reconciliation rows for cash and cash equivalents balances.",Consolidated Cash Flows|Operating Cash Activities|Investing Cash Activities|Financing Cash Activities|Cash and Cash Equivalents|Treasury Shares|Corporate Financial Line Items,Operating Profit|Depreciation and Amortization|Impairment Losses|Net Result on Disposal of Businesses|Non-Cash Income/Expense Items|Working Capital Changes|Operating Cash Flow|Capital Expenditure|Intangible Asset Expenditure|Business Acquisition/Disposal Cash Flows|Investments in Associates/Joint Ventures|Investing Cash Flow|Dividends Paid to Shareholders|Treasury Share Purchase|Long/Short Term Debt Cash Flows|Financing Cash Flow|Currency Retranslation Adjustments|Net Change in Cash and Cash Equivalents|Beginning/Ending Cash and Cash Equivalents,"Fiscal Year (2021, 2020)|Cash Flow Activity Category|Financial Line Item Name|Note Reference Number|Denomination Currency (CHF Millions)",True,2021|2020,Annual Fiscal Year,"Fiscal years ending December 31, 2020 and 2021",Consolidated Cash Flow Statement|2020-2021 Corporate Cash Flows|CHF Denominated Financial Reports,cash flow statement|2021|2020|CHF millions|operating cash flow|investing cash flow|financing cash flow|cash and cash equivalents|treasury shares|business acquisition|dividends paid,CFS|cash flow report|Swiss Franc millions,financial accounting|IFRS reporting|corporate finance|annual financial statements|treasury share buybacks,What was the 2021 consolidated operating cash flow?|What was the net change in cash and equivalents for 2020?|Explain the treasury share buyback note (a)?|What was the 2021 investing cash flow total?|What was the 2020 ending cash and equivalents balance?,0.98,"All inferences are fully supported by the provided sheet structure, standard global financial reporting conventions, and the included explanatory note. No critical unsupported assumptions are made.",
,inspect_file_test_file.xlsx,flat-table-data-with-none-num,全球电影票房收入排名统计表（按人民币、美元计价）,本工作表包含全球票房排名前63位的影片数据，按人民币总票房（亿元）降序排列，同时列出对应影片的美元总票房（亿美元）及上映年份，涵盖1993年至2025年上映的多部热门影视IP作品，表格为扁平化无汇总行结构。,影视行业|票房数据分析|娱乐产业统计|全球电影市场研究,按票房规模对全球电影进行排名|统计不同计价货币下的影片票房数据|记录影片上映年份与商业表现的对应关系|为全球电影市场分析提供参考数据,票房统计报表|电影商业表现数据|扁平化行业统计表格|娱乐产业 metrics 数据,每一行对应一部上榜全球票房排名的电影，包含其排名、中文片名、上映年份、人民币票房及美元票房数据,电影|票房收入|上映年份|全球票房排名,人民币总票房（亿元）|美元总票房（亿美元）,票房排名|电影名称|上映年份|计价货币类型,True,上映年份,年度,1993年至2025年,全球电影票房排名|人民币票房统计|美元票房数据|电影上映年份,票房排名|电影名称|上映年份|人民币票房|美元票房|阿凡达|复仇者联盟|2024年电影|2025年电影,电影票房|票房收入|CNY票房|USD票房|影片排名,电影市场|影视行业|票房统计|热门电影,全球票房排名第一的电影是哪部？|2024年上映的电影票房排名情况如何？|列出美元票房超过10亿美元的电影|查询《阿凡达》系列的总票房数据|2019年上映的电影有哪些上榜？,0.96,所有数据结构清晰，表头明确，样本数据完整，仅第64行的电影片名可能存在拼写或翻译错误，无额外标注说明。,第64行的电影片名「咒咒之魔童闭眼」可能存在翻译或命名错误，无外部信息确认正确名称。
,inspect_file_test_file.xlsx,flat-table-data：美国十年期国债收益率历史数据,美国十年期国债收益率每日历史统计报表,本工作表包含美国十年期国债收益率的每日历史交易数据，涵盖2005年1月3日起共1534条交易记录，每条记录包含交易日期、收盘收益率、开盘收益率、当日最高收益率、当日最低收益率及当日涨跌幅百分比，为扁平化无汇总行的时间序列数据表。,金融市场|固定收益证券|政府债券数据分析|宏观经济金融统计,追踪美国十年期国债收益率的每日波动情况|提供历史国债交易价格数据用于市场分析|支持金融研究与债券市场趋势研判,固定收益金融数据|每日国债收益率统计|历史市场交易数据|扁平化时间序列数据表,每一行对应单个交易日的美国十年期国债收益率交易数据,美国十年期国债|国债收益率|交易日期|债券交易指标,收盘收益率|开盘收益率|当日最高收益率|当日最低收益率|当日涨跌幅百分比,交易日期|收益率指标类型,True,日期,每日,2005年1月3日至今（根据1534条记录推断）,美国十年期国债收益率|国债历史数据|每日债券收益率,日期|收盘收益率|开盘收益率|最高收益率|最低收益率|涨跌幅|十年期国债|国债收益率|2005,10年期美债收益率|国债交易数据|每日收益率,债券市场|固定收益|美联储货币政策|金融数据分析,2005年1月3日美国十年期国债收盘收益率是多少？|2005年3月9日的国债最高收益率是多少？|查询2005年1月的所有国债收益率数据|美国十年期国债收益率的历史涨跌幅情况如何？|列出2005年4月的国债开盘收益率数据,0.98,所有推断均基于清晰的表头与完整的样本数据，表格结构为标准扁平化时间序列表，无缺失核心信息，仅无法确认数据的精确截止日期，但不影响整体语义理解。,
,inspect_file_test_file.xlsx,flat-table-with-long-col-name,美国国债不同期限固定到期日市场收益率每日历史统计报表,本工作表包含1566个交易日的美国国债不同期限固定到期日市场收益率每日历史数据，覆盖1个月至30年共11种国债期限品种，所有收益率以投资基准报价，部分交易日存在ND（无数据）标记，为扁平化无汇总行的时间序列金融数据表。,金融市场|固定收益证券|美国国债数据分析|宏观经济金融统计,追踪不同期限美国国债的每日市场收益率|提供历史收益率曲线数据用于金融分析|支持固定收益投资研究与货币政策研判,固定收益收益率数据|每日国债市场统计|时间序列金融数据|扁平化财务报表,每一行对应单个交易日的所有跟踪期限美国国债市场收益率数据,美国国债|固定到期日收益率|交易日|国债收益率曲线,1个月期固定到期日市场收益率|3个月期固定到期日市场收益率|6个月期固定到期日市场收益率|1年期固定到期日市场收益率|2年期固定到期日市场收益率|3年期固定到期日市场收益率|5年期固定到期日市场收益率|7年期固定到期日市场收益率|10年期固定到期日市场收益率|20年期固定到期日市场收益率|30年期固定到期日市场收益率,交易日|国债期限品种,True,交易日（A列）,每日,2005年1月3日至2025年左右（基于1566条每日记录推断）,美国国债收益率|不同期限国债收益率|每日国债市场数据,US Treasury yield|constant maturity|1-month yield|10-year yield|30-year yield|trading date|ND无数据|investment basis,美债收益率|国债收益率曲线|到期收益率,固定收益投资|美联储货币政策|金融市场分析|收益率曲线,2005年1月3日的10年期美国国债收益率是多少？|列出2005年2月所有交易日的30年期国债收益率数据|查询存在ND无数据标记的交易日|2005年2月24日的5年期国债收益率是多少？|获取所有1个月期国债收益率的历史数据,0.97,所有推断均基于清晰的表头和样本数据，部分交易日存在ND无数据标记，无关键信息缺失或歧义。,数据集的确切截止日期未明确标注，仅能基于1566条每日记录进行推断。
,inspect_file_test_file.xlsx,kpi-five-year-review,Volkswagen Group 2024 Annual Report Five-Year Performance Review (2020-2024),"This sheet contains 2020-2024 five-year annual performance data from Volkswagen Group's 2024 annual report, including operational metrics (vehicle sales, production volume, average employee count), full income statement, balance sheet, and cash flow data, with units in thousands of units or millions of EUR. Two notes are included to disclose that 2022 and 2023 reported figures have been adjusted per IAS 8 standards.",Automotive Manufacturing|Corporate Financial Reporting|Annual Disclosure|KPI Performance Tracking,Disclose annual operational and financial performance data for Volkswagen Group between 2020 and 2024|Provide performance analysis basis for investors and stakeholders|Present restated historical financial data in compliance with international accounting standards,Annual Financial Report|KPI Performance Metrics|Automotive Industry Financial Data|Consolidated Corporate Financial Statements,"Each non-title/non-header row corresponds to a specific operational or financial KPI line item, with values reported for fiscal years 2020, 2021, 2022, 2023, and 2024.",Volkswagen Group|Vehicle Sales Volume|Vehicle Production Volume|Average Employee Count|Financial Statement Line Items|Cash Flow Metrics,Vehicle Sales (thousands of units)|Vehicle Production (thousands of units)|Yearly Average Employees (thousands of people)|Sales Revenue (millions of EUR)|Cost of Sales (millions of EUR)|Gross Profit (millions of EUR)|Operating Expenses (millions of EUR)|Operating Result (millions of EUR)|Financial Result (millions of EUR)|Earnings Before/After Tax (millions of EUR)|Personnel Expenses (millions of EUR)|Balance Sheet Line Item Amounts (millions of EUR)|Operating/Investing/Financing Activity Cash Flows (millions of EUR),"Fiscal Year (2020, 2021, 2022, 2023, 2024)|KPI Category|Geographic Segment (Germany, Abroad)",True,2024|2023|2022|2021|2020,Fiscal Year,2020 to 2024,Volkswagen Group Five-Year Performance Review|2024 Annual Report Data|Automotive Industry Financial Metrics,Volkswagen|VW Group|Annual Report|KPI|Vehicle Sales|Production Volume|Income Statement|Balance Sheet|Cash Flow|IAS 8 Adjustment,Volkswagen Group|Annual Financial Review|Operational Metrics|Financial Indicators,Automotive Manufacturing Finance|International Accounting Standards|Investor Analysis|Corporate Performance Disclosure,What was Volkswagen Group's 2024 global vehicle sales?|What was Volkswagen's 2024 net earnings after tax?|What is the trend of Volkswagen's overseas sales between 2020 and 2024?|Which fiscal years have restated financial data per IAS 8?|What was Volkswagen Group's 2022 operating profit?,0.96,"All data aligns with standard Volkswagen Group annual report structure. The note rows explicitly confirm restatements for 2022 and 2023 fiscal years. Minor ambiguity exists from formatting errors in column headers (C5 shows 20231, D5 shows 20222, intended to be 2023 and 2022).","Column headers contain formatting errors (20231, 20222) with no explicit correction note; detailed geographic segment statistical口径 is not fully clarified."
,新乡市固定资产投资项目表（总表）.xlsx,Sheet1,新乡市固定资产投资项目综合统计总报表,"This sheet is a comprehensive statistical table for fixed asset investment projects in Xinxiang City, with 40 rows and 23 columns. It covers overall city-level data, sub-county/district breakdowns, and industry department-level statistics, including total project count, total investment, annual planned investment, cumulative completed investment since the start of the year, and investment metrics for projects in various statuses (ongoing, planned new start, preliminary, planned, suspended, revoked, completed). The investment completion rate is calculated as cumulative completed investment divided by annual planned investment.",Local Government Statistics|Fixed Asset Investment Management|Regional Economic Development|Project Investment Supervision,"Comprehensively统计 fixed asset investment projects in Xinxiang City at city, district/county, and industry department levels|Track project investment progress and completion status|Classify and统计 investment project scale by project status|Provide data support for local government investment decision-making",Government Statistical Report|Fixed Asset Investment Data|Regional Project Statistics|Departmental Project Statistics,"Each row corresponds to fixed asset investment project statistics for one administrative region (municipal level, districts/counties) or industry department in Xinxiang City, plus one total summary row for the entire city.",Fixed Asset Investment Project|Administrative Region|Industry Competent Department|Project Investment Scale|Project Status Category,Total Project Count|Total Investment|Annual Planned Investment|Cumulative Completed Investment Since Year Start|Ongoing Project Count|Ongoing Project Total Investment|Planned New Start Project Count|Planned New Start Project Total Investment|Preliminary Project Count|Preliminary Project Total Investment|Planned Project Count|Planned Project Total Investment|Suspended Project Count|Suspended Project Total Investment|Revoked Project Count|Revoked Project Total Investment|Completed Project Count|Completed Project Total Investment|Investment Completion Rate,Administrative Region/Department|Project Status Category|Statistical Indicator Type,True,,Annual (with year-to-date cumulative statistics),Current statistical year of Xinxiang City (with year-to-date cumulative completed investment data),Xinxiang City Fixed Asset Investment Statistics|Regional Project Investment Data|Industry Department Investment Statistics,固定资产投资|新乡市|项目个数|总投资|年度计划投资|累计完成投资|在建项目|计划新开工项目|前期项目|区县投资|行业部门投资,固投项目|投资项目统计|项目投资规模,Local Economic Statistics|Government Investment Supervision|Project Progress Tracking|Regional Economic Development,What is the total fixed asset investment scale of Xinxiang City?|How many fixed asset investment projects are there in Changyuan City?|What is the total annual planned investment of the municipal level?|Which district/county has the highest total investment?|What is the fixed asset investment status of the Municipal Bureau of Industry and Information Technology?|What is the investment completion rate of each industry department in Xinxiang City?,0.94,"All data has clear statistical dimensions and indicator meanings, with layered and clear headers. Some district/county and department rows have empty cumulative completed investment data marked as '暂无数据', and some values have minor decimal precision differences, with no core information missing.",The pricing unit for investment indicators is not explicitly marked (inferred to be ten thousand yuan).
,example_table.xlsx,PELAGIC,UK Vessel Pelagic Fish Stock Landings and Quota Uptake Statistical Report,"This sheet contains pelagic fish stock fisheries data including regional landings (Scotland, England/Wales/NI, Abroad), total UK landings with year-over-year percentage changes, UK fishing quota allocations, and weekly/annual quota uptake metrics for major pelagic stocks (herring, mackerel, blue whiting, sandeels, etc.) and their sub-stocks. The report includes 4 explanatory footnotes at the bottom of the sheet, and some cells contain #DIV/0! errors due to missing divisor data.",Fisheries Management|Marine Resource Statistics|UK Quota Compliance|Pelagic Stock Monitoring,Track regional landings of pelagic fish stocks by UK fishing vessels|Calculate year-over-year changes in fish landings and quota uptake|Monitor progress against annual fishing quotas|Provide standardized fisheries statistical data for stock management,Fisheries Statistical Report|Pelagic Stock Landings Data|Quota Compliance Metrics|Marine Resource Management Dataset,"Each non-header, non-note row corresponds to a single pelagic fish stock or sub-stock, with paired metrics for landings, quota uptake, and annual/weekly performance changes.",Pelagic Fish Stock|UK Fishing Vessel|Fish Landings Volume|Fishing Quota|Fishing Region|Quota Uptake,Regional Fish Landings (Tonnes)|Total UK Landings (Tonnes)|Year-over-Year Percentage Change in Landings|Annual UK Fishing Quota (Tonnes)|Weekly Quota Uptake (Tonnes)|Annual Quota Uptake Percentage (2022/2023),Pelagic Fish Stock Name|Reporting Year (2022/2023)|Fishing Region|Sub-Stock Classification|Quota Status,True,2022|2023|past week|2022 annual comparison|2023 annual comparison,Weekly and Annual,"2022 to 2023, with weekly real-time quota uptake reporting",UK Pelagic Fisheries Statistics|Fish Quota Uptake Data|Pelagic Stock Landings,pelagic fish|herring|mackerel|blue whiting|sandeels|fish landings|quota uptake|UK vessels|2022|2023|fisheries statistics,pelagic stocks|fisheries landings|fish quota compliance|marine resource data,Fisheries Management|UK Quota System|Marine Stock Assessment|Commercial Fishing,What was the total UK landings for North Sea Herring in 2023?|What is the 2023 quota uptake percentage for West Coast Mackerel?|Which pelagic stocks had year-over-year landings growth in 2023?|What are the explanatory notes for this fisheries report?|What is the UK quota for Blue Whiting in 2023?,0.92,"All core inferences are supported by the provided table structure and sample data. Some cells contain #DIV/0! errors with no explicit explanation, and some regional landing data is marked as 0/blank with no clarification. The exact weekly reporting period for quota uptake is not explicitly defined.",#DIV/0! error cells have no explicit explanation|Exact weekly reporting window for quota uptake is not specified|Some regional landing columns have missing/blank values with no context
,student.xlsx,student,2025级软件工程专业学生基础信息表,本工作表包含100名2025级软件工程专业学生的基础个人与入学信息，分为软工1班和软工2班两个班级，每条记录对应一名学生的学号、姓名、性别及班级分配情况，无额外附加数据。,教育|高等教育|学生管理|软件工程专业教务管理,记录软件工程专业2025级新生的基础身份信息与班级分组情况|管理学生入学后的班级分配|提供学生基础名录数据用于教务行政工作,学生主数据|基础学生信息|班级招生记录,每一行对应一名软件工程专业学生的完整基础信息，包含学号、姓名、性别及所属班级,学生|软件工程班级|学生学号|学生性别,,学号|姓名|性别|班级,True,,招生年级,2025级新生入学年度,学生基础信息|软件工程专业学生名单|班级学生名录,学号|姓名|性别|班级|软工1班|软工2班|SE2025|学生信息,学生编号|学生名单|班级分组,学生管理|教务管理|新生入学信息,列出软工1班的所有学生名单|查询学号SE2025014的学生姓名和班级|统计软工2班的女生人数|查看2025级软件工程专业全体学生的性别分布|查找姓名为朱琳的学生所在班级,0.98,所有学生记录均包含完整的学号、姓名、性别及班级信息，数据无缺失或格式错误，所有推断均基于表格内的明确内容，无额外假设。,
